,modo_llegada,modo_salida,pesoKG,tiempoMin,tiempoHoras
72,tren,barco,22904668,2180.179378857059,36
73,barco,tren,30540788,2185.6636858603956,36
74,tren,barco,3675780,319.43647264900545,5
75,barco,tren,10204909,554.7798708455331,9
76,tren,barco,19895632,1663.3122108243883,27
77,barco,tren,5365800,304.8419543119574,5
78,barco,tren,52890633,5519.225636511856,91
79,barco,tren,9086559,624.8069951280718,10
80,barco,tren,13565846,855.1648044059991,14
81,tren,barco,28395197,3917.9707092665785,65
82,barco,tren,20662438,1033.1180480993166,17
83,barco,tren,30336726,3548.801544728339,59
84,barco,tren,18487819,1808.5975838524946,30
85,tren,barco,12270004,1201.780529544888,20
86,barco,tren,47171247,3196.286043585226,53
87,barco,tren,40712903,2994.5889275843588,49
88,tren,barco,7030768,672.1918407440936,11
89,tren,barco,27938600,3672.7860703270835,61
90,tren,barco,52353093,3542.379436518442,59
91,barco,tren,9228912,1062.2146504678394,17
92,tren,barco,19639518,2353.5407868267735,39
93,barco,tren,30987420,1791.5207005675793,29
94,tren,barco,41498585,4595.310073707099,76
95,barco,tren,19897414,1426.1471726279435,23
96,barco,tren,47096026,4924.442348716605,82
97,tren,barco,21041501,2060.7478885776763,34
98,barco,tren,33787146,2773.367864144465,46
99,barco,tren,28808637,1616.0337304597351,26
100,tren,barco,57516155,4848.031350861121,80
101,tren,barco,19036825,1738.5737519280412,28
102,barco,tren,51310339,3700.7416800869896,61
103,tren,barco,18617866,1065.1074281900303,17
104,tren,barco,37995055,4166.469133645351,69
105,barco,tren,20858109,1055.4047204909286,17
106,barco,tren,14755094,1556.0310264787697,25
107,barco,tren,36732992,2980.6647230762824,49
108,tren,barco,21414153,1481.1899757006258,24
109,barco,tren,53961810,3686.9993240593626,61
110,barco,tren,26979801,1468.888448187887,24
111,tren,barco,3044409,320.5663302846329,5
112,tren,barco,5110634,590.9419630659208,9
113,tren,barco,46200616,4801.886369387341,80
114,barco,tren,4604161,344.97583795545745,5
115,tren,barco,26630456,2205.9378544608544,36
116,barco,tren,39282297,4017.261145917524,66
117,tren,barco,52685346,4527.477572097555,75
118,tren,barco,40249416,2469.845729202407,41
119,barco,tren,16575118,778.9877721280202,12
120,barco,tren,37523723,2477.0155798262563,41
121,barco,tren,56181506,3371.9268872160155,56
122,barco,tren,50241263,4218.708747856554,70
123,tren,barco,36914815,3708.3229574984803,61
124,tren,barco,38170291,4060.3317857104407,67
125,barco,tren,21942659,1085.7112687128822,18
126,barco,tren,41023534,2651.4331719768197,44
127,barco,tren,31896092,1264.528641462914,21
128,tren,barco,26698190,2993.6521902516456,49
129,barco,tren,41126697,2288.4890403735226,38
130,barco,tren,4709622,388.9176064553069,6
131,barco,tren,15053377,1118.9028148641617,18
132,tren,barco,51158461,3858.768023956115,64
133,tren,barco,29924956,3431.9794359394714,57
134,tren,barco,21268119,1688.0913790224165,28
135,tren,barco,15207503,865.2666850172657,14
136,tren,barco,1553441,145.13281086465662,2
137,tren,barco,55273449,6998.5246344401385,116
138,tren,barco,18182966,1575.9140388920591,26
139,barco,tren,49634151,5247.229729519038,87
140,tren,barco,49763280,5856.148322093597,97
141,barco,tren,13754641,1243.211405685262,20
142,barco,tren,25639727,1165.4627126813423,19
143,barco,tren,12404016,1313.8118677777973,21
144,tren,barco,10772634,1079.6246900430444,17
145,barco,tren,2326977,143.01863555516212,2
146,tren,barco,31396903,2629.7737761372982,43
147,barco,tren,44947447,4939.925878450868,82
148,tren,barco,15941967,1636.0313299816178,27
149,barco,tren,18703898,1187.449420967707,19
150,tren,barco,51918754,3001.8267599711844,50
151,barco,tren,639413,108.98649900187584,1
152,tren,barco,31440943,2676.0411985991873,44
153,barco,tren,18625749,1259.4751479047436,20
154,barco,tren,30307161,1245.5216880295998,20
155,barco,tren,8648374,745.9002920097564,12
156,barco,tren,3192723,234.715014661141,3
157,barco,tren,54604195,4724.6280724325825,78
158,tren,barco,6168201,441.1017404545213,7
159,barco,tren,23974033,2215.787765303368,36
160,barco,tren,19621168,828.8291387549477,13
161,barco,tren,1494050,118.37480263150638,1
162,barco,tren,676956,79.44194602197291,1
163,tren,barco,37726226,2416.236542567989,40
164,barco,tren,13844903,857.6335808179078,14
165,tren,barco,4522377,381.7015800219651,6
166,barco,tren,44476160,3337.3494778645227,55
167,tren,barco,35636137,4444.359394001326,74
168,tren,barco,29732757,2266.002714458499,37
169,barco,tren,8321734,395.1599511655624,6
170,tren,barco,34116122,2790.7313724812648,46
171,tren,barco,8190961,1045.7308011624266,17
172,barco,tren,31062966,1834.342234235981,30
173,barco,tren,9076330,907.3861328792517,15
174,barco,tren,59539971,3274.4410514975166,54
175,barco,tren,52209739,4936.706745373625,82
176,tren,barco,43488037,4117.790873224517,68
177,tren,barco,52523344,8023.196495855319,133
178,barco,tren,12524969,866.1958668738939,14
179,tren,barco,12312088,1854.9597924837935,30
180,tren,barco,21808154,3310.6465497745994,55
181,tren,barco,37305968,4300.768324510649,71
182,tren,barco,44167733,3391.1998091517808,56
183,tren,barco,1107267,112.98900194922636,1
184,barco,tren,744743,85.60128512507147,1
185,tren,barco,51151571,4305.99401288422,71
186,barco,tren,22643888,1046.2617516048404,17
187,barco,tren,56758391,4311.431784990542,71
188,barco,tren,47025086,3041.5504083464984,50
189,barco,tren,21530539,1961.975954283348,32
190,tren,barco,25089355,1800.9512609237242,30
191,tren,barco,36535742,4880.170619891279,81
192,tren,barco,33545038,3376.177471129158,56
193,barco,tren,19767478,1633.4222063022921,27
194,barco,tren,50193488,3258.9028687413756,54
195,barco,tren,17559081,1462.7170200278622,24
196,barco,tren,46377134,2688.125457240228,44
197,tren,barco,7135110,643.826431695811,10
198,tren,barco,55393510,5119.313362751318,85
199,barco,tren,5024466,362.54982138557074,6
200,barco,tren,30269176,1490.0852670043976,24
201,tren,barco,17555840,1729.9148834820332,28
202,tren,barco,26008643,3619.981795605507,60
203,barco,tren,4031948,216.5440852162637,3
204,barco,tren,42023297,1712.7078262078767,28
205,tren,barco,35726201,3650.3232338257208,60
206,barco,tren,10946447,844.6486448536219,14
207,barco,tren,15975590,1389.7346019631786,23
208,tren,barco,3906670,303.50494567961243,5
209,tren,barco,46426200,6312.2353963931155,105
210,tren,barco,33258792,2962.1515955493137,49
211,barco,tren,13092041,646.966122557452,10
212,barco,tren,14800598,958.1005000548757,15
213,tren,barco,39835010,3945.2746467514876,65
214,tren,barco,13257828,1200.425889622451,20
215,barco,tren,38880439,2609.8718396626205,43
216,barco,tren,24056591,2323.255658845048,38
217,tren,barco,34555900,3010.3023588362007,50
218,barco,tren,29424631,3418.937263972998,56
219,tren,barco,20499135,2806.911816811776,46
220,barco,tren,30036677,3074.4547505927053,51
221,tren,barco,2338113,300.8625326633443,5
222,tren,barco,57001761,5143.979876174238,85
223,tren,barco,44788806,2668.28726303642,44
224,barco,tren,39603260,1517.791344923893,25
225,tren,barco,783073,80.40517607750627,1
226,tren,barco,1971172,177.0526637704714,2
227,barco,tren,41726046,2421.6411544453863,40
228,barco,tren,49579250,4728.433366628706,78
229,barco,tren,26328945,1298.5994753447112,21
230,tren,barco,34844210,3331.0746567065585,55
231,barco,tren,10617399,667.7895295998494,11
232,barco,tren,34421437,3163.6087690377253,52
233,tren,barco,33161191,3317.710644376281,55
234,tren,barco,14882112,899.2179747611779,14
235,tren,barco,6307322,589.9185001884736,9
236,barco,tren,27479403,2419.143493149177,40
237,barco,tren,27769144,2418.7557356737516,40
238,barco,tren,52431417,3898.405876106325,64
239,barco,tren,42004619,2897.602280155708,48
240,tren,barco,16336818,1366.9770620683214,22
241,tren,barco,18569207,2834.4333425352966,47
242,barco,tren,49448990,3877.956548580896,64
243,tren,barco,11233378,1192.9783048394806,19
244,barco,tren,59363050,4868.372415964257,81
245,tren,barco,57417494,5809.97566524942,96
246,barco,tren,20334497,1111.0206674162887,18
247,tren,barco,57716134,3903.4710446462,65
248,barco,tren,58634590,4919.827212033321,81
249,tren,barco,9726905,720.3689075403486,12
250,tren,barco,11411079,1124.0737014491747,18
251,barco,tren,44199339,3353.9906102354817,55
252,barco,tren,16269388,751.7321724598618,12
253,tren,barco,22295962,2187.0743169948196,36
254,tren,barco,54522842,6113.362525462052,101
255,barco,tren,18264935,1451.0388727364978,24
256,barco,tren,9095735,485.7375643617305,8
257,tren,barco,49899798,6138.834700061104,102
258,barco,tren,17686483,1079.1357864906026,17
259,tren,barco,9529880,971.6899743791749,16
260,tren,barco,40873865,2738.6823435195197,45
261,tren,barco,49921456,5218.680544457269,86
262,barco,tren,47298401,4091.794060914209,68
263,tren,barco,42656595,4056.082624676406,67
264,tren,barco,47727293,4763.269335341418,79
265,tren,barco,36776005,2821.5474148636463,47
266,tren,barco,15363695,1190.7402808970157,19
267,tren,barco,52716289,4175.293808719867,69
268,barco,tren,47999900,3323.8222209208325,55
269,tren,barco,50260497,4353.461557063648,72
270,tren,barco,54309273,4258.84847520015,70
271,tren,barco,38582501,4011.579327889225,66
272,tren,barco,54530591,4548.484077538284,75
273,tren,barco,18697959,1085.05109205013,18
274,tren,barco,45822544,3854.529698588214,64
275,barco,tren,39614025,3294.981993033916,54
276,barco,tren,56294162,6255.038324503904,104
277,barco,tren,11158550,1261.0099327349888,21
278,barco,tren,11221201,1269.4944573454877,21
279,tren,barco,5822695,600.3078254969785,10
280,barco,tren,36074984,2534.764122946004,42
281,tren,barco,9777202,576.6975637528543,9
282,tren,barco,19389307,1793.9095148808124,29
283,tren,barco,30567391,3519.34255353341,58
284,barco,tren,20568857,2012.823533552903,33
285,barco,tren,42964142,3738.256942874656,62
286,tren,barco,23179847,2433.706796100298,40
287,barco,tren,43322065,4977.487485463217,82
288,tren,barco,55283561,5480.2588431853255,91
289,tren,barco,43317850,3261.0648525831893,54
290,barco,tren,57549420,2898.8459280296197,48
291,tren,barco,31928074,3473.7485576488557,57
292,tren,barco,18178292,1683.5951878200751,28
293,barco,tren,38133338,2267.9266165600866,37
294,barco,tren,20670227,1627.67428331931,27
295,tren,barco,56951192,4535.84847767238,75
296,tren,barco,39030584,2806.255486118693,46
297,barco,tren,43741068,3945.6597307324114,65
298,tren,barco,41330794,3319.0406765441166,55
299,tren,barco,49901756,5168.382630665704,86
300,barco,tren,5724089,510.64841896409524,8
301,barco,tren,51292043,3615.99445993258,60
302,tren,barco,53945585,4833.269005277137,80
303,tren,barco,24286139,2773.685685205937,46
304,tren,barco,23000470,1767.9260713692108,29
305,tren,barco,53524010,2923.904665237278,48
306,tren,barco,49743531,5371.673893378128,89
307,barco,tren,38166612,3562.8872937202896,59
308,barco,tren,49294063,3800.6102121261765,63
309,tren,barco,39216481,3127.4092173250056,52
310,tren,barco,18706964,1451.5897084234773,24
311,barco,tren,21062377,1681.3594419483654,28
312,tren,barco,46938705,3685.807719408292,61
313,tren,barco,42470452,3119.0376210851905,51
314,tren,barco,55875710,8094.5629761323235,134
315,barco,tren,27190668,2591.387325584319,43
316,barco,tren,11852124,945.5975340777737,15
317,tren,barco,5954540,721.3748606661253,12
318,barco,tren,7731910,522.5676926021567,8
319,barco,tren,15224170,708.3294958410789,11
320,tren,barco,8836188,1070.7235853614575,17
321,barco,tren,41946069,2762.3803804135055,46
322,tren,barco,23572863,1553.3973606271097,25
323,tren,barco,50249996,3926.204366327572,65
324,barco,tren,40503913,3332.982663710836,55
325,barco,tren,35176023,3517.353676859621,58
326,tren,barco,22223289,1734.6153406934973,28
327,barco,tren,38224192,2259.29037859436,37
328,tren,barco,49211914,6794.539351195249,113
329,barco,tren,55503729,3434.990091697815,57
330,tren,barco,7668749,595.4529663983947,9
331,barco,tren,31518340,2214.9089080703193,36
332,barco,tren,29347279,2838.383984497867,47
333,tren,barco,2079495,233.9019491999699,3
334,tren,barco,34160800,3435.940069007655,57
335,tren,barco,8132053,583.7854938783985,9
336,tren,barco,19135843,1159.5583008148524,19
337,tren,barco,10133741,1007.7444384558273,16
338,tren,barco,28429375,2270.8168546863053,37
339,barco,tren,25539219,1784.495046988042,29
340,tren,barco,57383091,5259.804390210377,87
341,barco,tren,50753615,2505.871398279821,41
342,tren,barco,11681200,1148.7308166713888,19
343,barco,tren,46055363,3499.305997179873,58
344,barco,tren,38639926,3273.142880418952,54
345,barco,tren,13744995,796.5220079336012,13
346,barco,tren,31358117,2163.207155826774,36
347,tren,barco,50965848,7116.699928918568,118
348,tren,barco,6890177,553.9983128666754,9
349,tren,barco,28382585,2922.8894292168798,48
350,barco,tren,37141006,2281.8118645062927,38
351,tren,barco,57863559,7954.584945394786,132
352,barco,tren,10502669,484.6540020319549,8
353,barco,tren,31592391,2707.7265747473507,45
354,barco,tren,13044246,1458.369657674862,24
355,barco,tren,3064552,209.799568788743,3
356,barco,tren,4022793,348.6220724583859,5
357,barco,tren,44066256,1722.000900876598,28
358,tren,barco,18092158,1721.186950236555,28
359,tren,barco,44428391,4069.735683173241,67
360,tren,barco,16014111,877.0675643804262,14
361,tren,barco,14440440,1956.7614147976112,32
362,tren,barco,13086194,1625.0358641543805,27
363,tren,barco,2407965,311.80425138488494,5
364,barco,tren,50769133,5179.295840280912,86
365,barco,tren,33737175,2689.516795596112,44
366,tren,barco,56543840,3830.9479429041717,63
367,tren,barco,37519799,5099.976410704934,84
368,barco,tren,22173956,902.7660435621539,15
369,tren,barco,8468476,713.6230597403766,11
370,tren,barco,20477371,1887.7522525503564,31
371,tren,barco,7577917,634.9748857309924,10
372,tren,barco,38466522,3723.72437307655,62
373,tren,barco,15344782,1147.0361999436675,19
374,tren,barco,24349572,1656.001412652321,27
375,barco,tren,46871884,4015.637160120341,66
376,barco,tren,35611866,2372.3808211747646,39
377,barco,tren,39667686,1558.8907827642565,25
378,tren,barco,55609968,4276.059455921689,71
379,barco,tren,43047157,2737.3065446122832,45
380,tren,barco,22710724,2382.0730310698905,39
381,barco,tren,11723080,529.608217087781,8
382,barco,tren,51360599,3493.271510301628,58
383,barco,tren,28284251,1734.6835989143722,28
384,barco,tren,32124138,2265.099208216029,37
385,barco,tren,31554730,1936.890266705134,32
386,barco,tren,23214241,1701.5119057906638,28
387,tren,barco,12963552,1020.6797577087963,17
388,tren,barco,26838649,1652.0603594328375,27
389,tren,barco,7413723,793.4855638861774,13
390,tren,barco,1363457,196.33776964673774,3
391,tren,barco,7580897,559.6076927045752,9
392,barco,tren,27989188,3000.1877806482626,50
393,tren,barco,40378160,3399.8704512166055,56
394,tren,barco,15924766,1255.6918125790942,20
395,tren,barco,36106053,3850.2981325154287,64
396,barco,tren,28204736,2528.4280965433995,42
397,barco,tren,11626043,798.1985580466002,13
398,barco,tren,27889395,1707.0051952089257,28
399,tren,barco,12249227,1010.9120690379962,16
400,tren,barco,32605195,3130.80075245155,52
401,barco,tren,41004098,3804.134941185142,63
402,barco,tren,44314011,1915.4299054996009,31
403,barco,tren,5755814,439.50740411923687,7
404,tren,barco,13749513,1539.2781172467096,25
405,tren,barco,8707404,801.9478990574339,13
406,tren,barco,2552032,310.0788655004594,5
407,tren,barco,24726779,1573.886702421058,26
408,barco,tren,12072319,1214.7025729432921,20
409,tren,barco,56945669,7055.366338235875,117
410,tren,barco,35560153,2410.390775807231,40
411,barco,tren,6153983,518.9572658059128,8
412,barco,tren,40327747,1688.9327920304174,28
413,barco,tren,28989375,2019.1124141163414,33
414,barco,tren,41449624,4030.813659372919,67
415,tren,barco,26948859,1847.2146026975884,30
416,tren,barco,2786900,260.4506794274929,4
417,tren,barco,36477930,3740.281930537131,62
418,barco,tren,28247477,2940.0805857066525,49
419,tren,barco,31253805,1700.1257534727392,28
420,tren,barco,2608048,373.3221845317631,6
421,barco,tren,1995627,190.7935367160906,3
422,tren,barco,11645291,1293.0601848909469,21
423,tren,barco,58485415,6314.639169020762,105
424,barco,tren,50692384,3649.9512181739087,60
425,tren,barco,10832867,742.7175844597523,12
426,tren,barco,8356210,849.0692239698285,14
427,barco,tren,52445705,4149.480382927502,69
428,tren,barco,14045630,1653.4777421953736,27
429,barco,tren,12271746,747.9091984069544,12
430,tren,barco,3877534,458.1823656171524,7
431,barco,tren,13790761,1046.7188772893137,17
432,barco,tren,2543766,189.70829652537097,3
433,tren,barco,10618054,902.2627504009027,15
434,barco,tren,5086695,313.5715208822521,5
435,barco,tren,59054152,4286.651403647544,71
436,barco,tren,28061779,1905.0231316755944,31
437,barco,tren,47409886,1605.1239304050819,26
438,tren,barco,10150540,972.3650208204833,16
439,tren,barco,52869496,4988.164616987051,83
440,barco,tren,34162582,2555.1100413891636,42
441,tren,barco,59160444,4183.804853662571,69
442,barco,tren,35192951,2516.0246416907066,41
443,tren,barco,7879079,862.0782794925021,14
444,barco,tren,2370162,252.95338982876564,4
445,tren,barco,34771246,5023.860564946506,83
446,barco,tren,38380392,3198.2445144094886,53
447,barco,tren,59329986,3530.000657886669,58
448,tren,barco,10624908,693.283539250483,11
449,tren,barco,57269982,6421.425930930879,107
450,barco,tren,23811456,2437.5435900656034,40
451,tren,barco,29059914,3066.881149799074,51
452,tren,barco,30238799,1930.3115152263758,32
453,tren,barco,37485783,2956.579284463113,49
454,tren,barco,24876952,2159.903377661512,35
455,tren,barco,10470976,1169.1339837040066,19
456,tren,barco,8143915,829.2377399896994,13
457,barco,tren,11159177,872.5071868202003,14
458,barco,tren,26256186,1632.1792848528025,27
459,barco,tren,6489834,399.66632178898385,6
460,tren,barco,4457979,494.3786618881191,8
461,tren,barco,13308191,1324.101468585553,22
462,tren,barco,22271886,1848.9490518226526,30
463,barco,tren,28468888,3397.301173602383,56
464,barco,tren,22754762,1859.6409971613364,30
465,barco,tren,49785201,4376.307879886515,72
466,barco,tren,44702832,3704.77757137088,61
467,tren,barco,43819685,3541.80889012722,59
468,barco,tren,53921862,4799.073599704589,79
469,tren,barco,20687528,2238.8273685164286,37
470,barco,tren,58248352,3744.4250299248224,62
471,barco,tren,11215075,725.4921781536447,12
472,tren,barco,17900546,2269.3163109899197,37
473,barco,tren,636274,91.87146168593965,1
474,barco,tren,2350746,234.53624172515356,3
475,barco,tren,30230129,1246.227125343956,20
476,tren,barco,5519632,591.1227132356416,9
477,tren,barco,55354376,3654.3054032140826,60
478,tren,barco,41276409,3661.672560283049,61
479,barco,tren,18582087,1939.6360781150097,32
480,tren,barco,55461168,4454.935636770497,74
481,barco,tren,1359795,110.07589634609097,1
482,tren,barco,21273990,2194.2960282842864,36
483,tren,barco,26497911,2906.1087043020207,48
484,barco,tren,42661430,4423.161103335853,73
485,tren,barco,39970363,5371.00625073468,89
486,barco,tren,53881506,3288.631379618153,54
487,tren,barco,4387663,501.23533441891226,8
488,barco,tren,28894853,1486.839039459838,24
489,barco,tren,8276507,514.3499572212681,8
490,barco,tren,25666962,1918.2272007528618,31
491,barco,tren,22347769,1570.5189140448288,26
492,barco,tren,43052475,1776.4290377222403,29
493,barco,tren,45232908,4307.051434203863,71
494,tren,barco,8901909,690.1750100799794,11
495,barco,tren,8724625,610.687325947922,10
496,barco,tren,43069499,2781.294091036673,46
497,barco,tren,57282429,1876.9813390013371,31
498,tren,barco,35602984,4124.547071050474,68
499,barco,tren,14356773,970.9654173738802,16
500,barco,tren,9714697,738.1031417881381,12
501,barco,tren,39882201,1947.6296963481045,32
502,barco,tren,5712136,425.18286753680576,7
503,barco,tren,37873352,3385.876218415913,56
504,barco,tren,34306235,2128.961289817425,35
505,barco,tren,28162827,2167.024178405915,36
506,barco,tren,28900869,1428.45510665359,23
507,tren,barco,10311900,1191.248230423761,19
508,tren,barco,54995853,5391.307266993048,89
509,tren,barco,2305637,199.46462864270197,3
510,barco,tren,7771257,719.6894661297212,11
511,barco,tren,16567399,1399.132217378443,23
512,tren,barco,47177711,7485.298199043703,124
513,barco,tren,36987372,2814.0026718294357,46
514,tren,barco,55546815,4223.283444776874,70
515,barco,tren,24962072,1607.954816602242,26
516,tren,barco,57970076,3891.557202027592,64
517,tren,barco,51745598,2964.2370381316414,49
518,barco,tren,57214921,4587.0959051232785,76
519,tren,barco,10475346,1007.8861929576763,16
520,barco,tren,11740449,664.3634407086772,11
521,barco,tren,33566919,2881.0752784431997,48
522,barco,tren,47584964,2451.9843319211677,40
523,barco,tren,7477753,551.5800845842563,9
524,barco,tren,12017491,713.8036157690711,11
525,barco,tren,58106637,3740.4815065190746,62
526,barco,tren,20298031,972.7935213425194,16
527,tren,barco,33795932,2249.420651142633,37
528,barco,tren,55618912,2577.2280158843896,42
529,barco,tren,32955458,3325.040402738972,55
530,barco,tren,26908973,2456.5395409690477,40
531,barco,tren,18932254,1327.5143281107319,22
532,tren,barco,22227056,1704.0880620699445,28
533,barco,tren,41504853,4474.05514635055,74
534,tren,barco,5070080,712.4777496217831,11
535,barco,tren,32092726,3564.1080323640144,59
536,tren,barco,15736033,952.3241565344856,15
537,barco,tren,16067789,1035.5260121161728,17
538,tren,barco,32775276,3762.7501660773273,62
539,barco,tren,50311356,3131.303456489857,52
540,barco,tren,9447849,784.3598103906588,13
541,barco,tren,30335677,2060.561233860485,34
542,barco,tren,33515404,2492.736015270143,41
543,barco,tren,55957302,3996.1675726673807,66
544,barco,tren,15429975,852.4971403910768,14
545,barco,tren,19506434,1168.8010953702246,19
546,tren,barco,8348776,778.3380510044517,12
547,tren,barco,39605297,3847.361374910841,64
548,barco,tren,13561562,961.4981087642743,16
549,barco,tren,22623122,1854.8300585829707,30
550,barco,tren,11477433,556.68965111573,9
551,tren,barco,57252555,5895.082223694846,98
552,barco,tren,49969402,3907.854815496255,65
553,tren,barco,56757894,5519.1209315397455,91
554,barco,tren,45669154,2814.3757183429725,46
555,barco,tren,25985198,2163.3492359477727,36
556,barco,tren,48024696,4350.369913527335,72
557,tren,barco,21160507,2082.977351937829,34
558,barco,tren,53842848,5414.631066440154,90
559,tren,barco,3738281,315.6703622191163,5
560,tren,barco,21616632,1655.3275447106296,27
561,barco,tren,31788708,2753.2208802652185,45
562,barco,tren,34281186,1789.4490348890354,29
563,barco,tren,53767747,3391.5981279734865,56
564,tren,barco,54240250,5322.709227558047,88
565,tren,barco,36651473,3873.459089147874,64
566,tren,barco,7765612,962.2659812747479,16
567,tren,barco,12105987,1102.0397658296542,18
568,tren,barco,33941902,2938.70120918957,48
569,tren,barco,27038869,2329.3319997314306,38
570,tren,barco,54380230,4060.6555846702604,67
571,barco,tren,36856397,1625.0665901829286,27
572,barco,tren,9923005,874.9415634311853,14
573,barco,tren,6076504,345.3517750045902,5
574,barco,tren,38203532,2110.07780029842,35
575,tren,barco,52710448,7301.638985578472,121
576,tren,barco,21337690,1633.2721613244335,27
577,barco,tren,41490769,2515.446728908043,41
578,tren,barco,23775129,1963.8961238889415,32
579,tren,barco,34031424,3277.9988379140777,54
580,barco,tren,45638458,2672.2726312488962,44
581,barco,tren,48978152,3614.417333122518,60
582,tren,barco,52673254,4071.8481633481597,67
583,tren,barco,30669565,3989.745886842587,66
584,barco,tren,17189120,1280.383064565702,21
585,barco,tren,30626409,2381.4358540404464,39
586,barco,tren,33208556,2025.7057610590637,33
587,barco,tren,34565901,1478.121476033474,24
588,tren,barco,53861385,4915.389167733011,81
589,tren,barco,9433786,962.7223207092333,16
590,barco,tren,45514681,1974.2200637461785,32
591,barco,tren,28775239,3228.2556876004405,53
592,tren,barco,44301401,2512.5272041237013,41
593,barco,tren,20039032,2101.599780447027,35
594,tren,barco,27305256,2073.612187742159,34
595,barco,tren,29442005,1920.7797466251095,32
596,barco,tren,39324914,2668.277172477729,44
597,barco,tren,46978289,2963.990762732636,49
598,tren,barco,16996120,1786.4163522302767,29
599,tren,barco,34064668,2838.44481771411,47
600,barco,tren,16521387,1254.6544686436694,20
601,barco,tren,43020770,2662.8356513774934,44
602,barco,tren,1669760,115.3847013138126,1
603,tren,barco,31656352,4264.352721731961,71
604,tren,barco,469814,80.138422472269,1
605,tren,barco,57606948,5686.034619975629,94
606,barco,tren,28104641,1918.4682899706606,31
607,tren,barco,2407324,254.1940376382648,4
608,tren,barco,38327185,2804.1314887392373,46
609,barco,tren,5410120,257.6865215168739,4
610,tren,barco,43363324,3803.3342672035506,63
611,barco,tren,28351669,1236.581305566238,20
612,tren,barco,51429060,8345.148515872503,139
613,barco,tren,47670124,1693.2276716549147,28
614,barco,tren,33532506,2110.34428666996,35
615,tren,barco,14868247,1065.2125927991453,17
616,tren,barco,41929969,3831.196688308729,63
617,barco,tren,2683595,305.8320469468631,5
618,tren,barco,58016919,6917.285470480045,115
619,tren,barco,24107316,2613.2451607149305,43
620,barco,tren,44536691,1930.5009123407795,32
621,tren,barco,35990145,4110.99837247483,68
